,Symbol,Description,Category2,Category3,Sector,Market cap,Dividend yield,Country,Action
123,NSC,Norfolk Southern Corp,Common stocks,Large cap,Industrials,"$74,044,244,718",1.42%,USA,Analyze
124,BDX,Becton Dickinson,Common stocks,Large cap,Health Care,"$71,637,099,748",1.33%,USA,Analyze
125,SQ,Square Inc Class A,Common stocks,Large cap,Information Technology,"$71,604,000,000",0.00%,USA,Analyze
126,SO,Southern Co,Common stocks,Large cap,Utilities,"$70,964,471,220",3.85%,USA,Analyze
127,CL,Colgate-Palmolive,Common stocks,Large cap,Consumer Staples,"$70,723,433,662",2.12%,USA,Analyze
128,FISV,Fiserv Inc,Common stocks,Large cap,Information Technology,"$68,624,506,596",0.00%,USA,Analyze
129,WM,Waste Management Inc,Common stocks,Large cap,Industrials,"$68,516,036,113",1.40%,USA,Analyze
130,ETN,"Eaton Corporation, PLC",Common stocks,Large cap,Industrials,"$68,029,062,000",1.77%,USA,Analyze
131,FDX,FedEx Corporation,Common stocks,Large cap,Industrials,"$67,898,393,888",1.13%,USA,Analyze
132,REGN,Regeneron Pharmaceuticals Inc,Common stocks,Large cap,Health Care,"$67,107,716,186",0.00%,USA,Analyze
133,APD,Air Products And Chemicals Inc,Common stocks,Large cap,Materials,"$66,997,444,861",1.92%,USA,Analyze
134,KLAC,KLA-Tencor Corporation,Common stocks,Large cap,Information Technology,"$66,739,528,368",0.88%,USA,Analyze
135,ECL,Ecolab Inc,Common stocks,Large cap,Materials,"$66,389,048,013",0.84%,USA,Analyze
136,FIS,Fidelity National Information Services,Common stocks,Large cap,Information Technology,"$66,033,145,739",1.43%,USA,Analyze
137,AON,Aon Plc,Common stocks,Large cap,Financials,"$65,753,799,923",0.67%,USA,Analyze
138,PSA,Public Storage,REITs,Large cap,Real Estate,"$64,670,761,728",2.15%,USA,Analyze
139,ADI,Analog Devices Inc,Common stocks,Large cap,Information Technology,"$64,610,570,415",1.56%,USA,Analyze
140,D,Dominion Energy Inc,Common stocks,Large cap,Utilities,"$62,601,173,497",3.21%,USA,Analyze
141,ADSK,Autodesk Inc,Common stocks,Large cap,Information Technology,"$62,538,442,453",0.00%,USA,Analyze
142,COF,Capital One Financial Corp,Common stocks,Large cap,Financials,"$62,094,002,042",1.36%,USA,Analyze
143,NXPI,NXP Semiconductors Nv,Common stocks,Large cap,Information Technology,"$61,903,941,702",0.96%,The Netherlands,Analyze
144,FCX,"Freeport-McMoRan, Inc.",Common stocks,Large cap,Materials,"$61,661,202,937",0.53%,USA,Analyze
145,BSX,Boston Scientific Corp,Common stocks,Large cap,Health Care,"$61,445,675,608",0.00%,USA,Analyze
146,NOC,Northrop Grumman Corp,Common stocks,Large cap,Industrials,"$60,911,747,817",1.60%,USA,Analyze
147,PGR,Progressive Corp,Common stocks,Large cap,Financials,"$60,448,775,181",6.12%,USA,Analyze
148,ILMN,Illumina Inc,Common stocks,Large cap,Health Care,"$60,122,358,000",0.00%,USA,Analyze
149,FTNT,Fortinet Inc,Common stocks,Large cap,Information Technology,"$60,113,967,789",0.00%,USA,Analyze
150,HUM,Humana Inc,Common stocks,Large cap,Health Care,"$59,669,473,911",0.59%,USA,Analyze
151,GD,General Dynamics Corp,Common stocks,Large cap,Industrials,"$57,835,424,778",2.23%,USA,Analyze
152,SNPS,Synopsys Inc,Common stocks,Large cap,Information Technology,"$57,629,904,618",0.00%,USA,Analyze
153,INFO,IHS Markit Ltd,Common stocks,Large cap,Industrials,"$56,748,974,267",0.30%,USA,Analyze
154,VRTX,Vertex Pharmaceuticals Inc,Common stocks,Large cap,Health Care,"$56,530,375,895",0.00%,USA,Analyze
155,JCI,Johnson Controls International Plc,Common stocks,Large cap,Industrials,"$56,163,465,177",1.44%,USA,Analyze
