,Symbol,Description,Category2,Category3,Sector,Market cap,Dividend yield,Country,Action
77,CHTR,Charter Communications Inc Class A,Common stocks,Large cap,Communication Services,"$116,960,531,472",0.00%,USA,Analyze
78,ZTS,Zoetis Inc,Common stocks,Large cap,Health Care,"$116,630,246,381",0.40%,USA,Analyze
79,SPGI,S&P Global Inc,Common stocks,Large cap,Financials,"$115,222,100,000",0.64%,USA,Analyze
80,CAT,Caterpillar Inc,Common stocks,Large cap,Industrials,"$111,639,527,408",2.06%,USA,Analyze
81,ANTM,Anthem Inc,Common stocks,Large cap,Health Care,"$111,532,247,916",0.98%,USA,Analyze
82,DE,Deere & Company,Common stocks,Large cap,Industrials,"$107,823,104,162",1.03%,USA,Analyze
83,TGT,Target Corp,Common stocks,Large cap,Consumer Discretionary,"$107,371,670,024",1.40%,USA,Analyze
84,MU,Micron Technology Inc,Common stocks,Large cap,Information Technology,"$105,777,629,398",0.11%,USA,Analyze
85,GE,General Electric,Common stocks,Large cap,Industrials,"$103,905,735,051",0.34%,USA,Analyze
86,ADP,Automatic Data Processing Inc,Common stocks,Large cap,Information Technology,"$103,782,675,704",1.54%,USA,Analyze
87,MMM,3M,Common stocks,Large cap,Industrials,"$102,245,379,305",3.31%,USA,Analyze
88,SYK,Stryker Corp,Common stocks,Large cap,Health Care,"$101,974,373,874",0.93%,USA,Analyze
89,LRCX,Lam Research Corp,Common stocks,Large cap,Information Technology,"$101,853,777,410",0.77%,USA,Analyze
90,SNOW,Snowflake Inc. Class A,Common stocks,Large cap,Information Technology,"$100,101,033,772",0.00%,USA,Analyze
91,MRNA,"Moderna, Inc.",Common stocks,Large cap,Health Care,"$100,097,379,226",0.00%,USA,Analyze
92,TEAM,Atlassian Plc Class A,Common stocks,Large cap,Information Technology,"$98,631,708,536",0.00%,United Kingdom,Analyze
93,BKNG,Booking Holdings Inc,Common stocks,Large cap,Consumer Discretionary,"$98,326,925,467",0.00%,USA,Analyze
94,LMT,Lockheed Martin Corp,Common stocks,Large cap,Industrials,"$96,602,474,203",2.99%,USA,Analyze
95,COP,ConocoPhillips,Common stocks,Large cap,Energy,"$96,560,100,133",2.37%,USA,Analyze
96,RIVN,"Rivian Automotive, Inc.  Class A",Common stocks,Large cap,Consumer Discretionary,"$95,577,006,618",0.00%,USA,Analyze
