Symbol;Description;Category2;Category3;Sector;Market cap;Dividend yield;Country;Action
FISV;Fiserv Inc;Common stocks;Large cap;Information Technology;$68,624,506,596;0.00%;USA;Analyze
WM;Waste Management Inc;Common stocks;Large cap;Industrials;$68,516,036,113;1.40%;USA;Analyze
ETN;Eaton Corporation, PLC;Common stocks;Large cap;Industrials;$68,029,062,000;1.77%;USA;Analyze
FDX;FedEx Corporation;Common stocks;Large cap;Industrials;$67,898,393,888;1.13%;USA;Analyze
REGN;Regeneron Pharmaceuticals Inc;Common stocks;Large cap;Health Care;$67,107,716,186;0.00%;USA;Analyze
APD;Air Products And Chemicals Inc;Common stocks;Large cap;Materials;$66,997,444,861;1.92%;USA;Analyze
KLAC;KLA-Tencor Corporation;Common stocks;Large cap;Information Technology;$66,739,528,368;0.88%;USA;Analyze
ECL;Ecolab Inc;Common stocks;Large cap;Materials;$66,389,048,013;0.84%;USA;Analyze
FIS;Fidelity National Information Services;Common stocks;Large cap;Information Technology;$66,033,145,739;1.43%;USA;Analyze
AON;Aon Plc;Common stocks;Large cap;Financials;$65,753,799,923;0.67%;USA;Analyze
PSA;Public Storage;REITs;Large cap;Real Estate;$64,670,761,728;2.15%;USA;Analyze
ADI;Analog Devices Inc;Common stocks;Large cap;Information Technology;$64,610,570,415;1.56%;USA;Analyze
D;Dominion Energy Inc;Common stocks;Large cap;Utilities;$62,601,173,497;3.21%;USA;Analyze
ADSK;Autodesk Inc;Common stocks;Large cap;Information Technology;$62,538,442,453;0.00%;USA;Analyze
COF;Capital One Financial Corp;Common stocks;Large cap;Financials;$62,094,002,042;1.36%;USA;Analyze
NXPI;NXP Semiconductors Nv;Common stocks;Large cap;Information Technology;$61,903,941,702;0.96%;The Netherlands;Analyze
FCX;Freeport-McMoRan, Inc.;Common stocks;Large cap;Materials;$61,661,202,937;0.53%;USA;Analyze
BSX;Boston Scientific Corp;Common stocks;Large cap;Health Care;$61,445,675,608;0.00%;USA;Analyze
NOC;Northrop Grumman Corp;Common stocks;Large cap;Industrials;$60,911,747,817;1.60%;USA;Analyze
PGR;Progressive Corp;Common stocks;Large cap;Financials;$60,448,775,181;6.12%;USA;Analyze
ILMN;Illumina Inc;Common stocks;Large cap;Health Care;$60,122,358,000;0.00%;USA;Analyze
FTNT;Fortinet Inc;Common stocks;Large cap;Information Technology;$60,113,967,789;0.00%;USA;Analyze
HUM;Humana Inc;Common stocks;Large cap;Health Care;$59,669,473,911;0.59%;USA;Analyze
GD;General Dynamics Corp;Common stocks;Large cap;Industrials;$57,835,424,778;2.23%;USA;Analyze
SNPS;Synopsys Inc;Common stocks;Large cap;Information Technology;$57,629,904,618;0.00%;USA;Analyze
INFO;IHS Markit Ltd;Common stocks;Large cap;Industrials;$56,748,974,267;0.30%;USA;Analyze
VRTX;Vertex Pharmaceuticals Inc;Common stocks;Large cap;Health Care;$56,530,375,895;0.00%;USA;Analyze
JCI;Johnson Controls International Plc;Common stocks;Large cap;Industrials;$56,163,465,177;1.44%;USA;Analyze
PANW;Palo Alto Networks Inc;Common stocks;Large cap;Information Technology;$56,076,062,344;0.00%;USA;Analyze
